IndID;Ind;Rep;Day;Diameter;Species
UZ_7.23(4)-R1D0;74;R1;D0;2;Fyves
UZ_7.23(4)-R2D0;74;R2;D0;2;Fyves
UZ_7.23(4)-R3D0;74;R3;D0;2;Fyves
UZ_7.23(8)-R1D0;78;R1;D0;2;Fyves
UZ_7.23(8)-R2D0;78;R2;D0;2;Fyves
UZ_7.23(8)-R3D0;78;R3;D0;2;Fyves
UZ_7.23(11)-R1D0;711;R1;D0;2;Fyves
UZ_7.23(11)-R2D0;711;R2;D0;2;Fyves
UZ_7.23(11)-R3D0;711;R3;D0;2;Fyves
UZ_44.22(1)-R1D0;441;R1;D0;2;Fnigr
UZ_44.22(1)-R2D0;441;R2;D0;2;Fnigr
UZ_44.22(1)-R3D0;441;R3;D0;2;Fnigr
UZ_44.22(2)-R1D0;442;R1;D0;2;Fnigr
UZ_44.22(2)-R2D0;442;R2;D0;2;Fnigr
UZ_44.22(2)-R3D0;442;R3;D0;2;Fnigr
UZ_44.22(4)-R1D0;444;R1;D0;2;Fnigr
UZ_44.22(4)-R2D0;444;R2;D0;2;Fnigr
UZ_44.22(4)-R3D0;444;R3;D0;2;Fnigr
UZ_55.22(2)-R1D0;552;R1;D0;2;Fprui
UZ_55.22(2)-R2D0;552;R2;D0;2;Fprui
UZ_55.22(2)-R3D0;552;R3;D0;2;Fprui
UZ_55.22(3)-R1D0;553;R1;D0;2;Fprui
UZ_55.22(3)-R2D0;553;R2;D0;2;Fprui
UZ_55.22(3)-R3D0;553;R3;D0;2;Fprui
UZ_55.22(4)-R1D0;554;R1;D0;2;Fprui
UZ_55.22(4)-R2D0;554;R2;D0;2;Fprui
UZ_55.22(4)-R3D0;554;R3;D0;2;Fprui
UZ_9.23(4)-R1D0;94;R1;D0;2;Froth
UZ_9.23(4)-R2D0;94;R2;D0;2;Froth
UZ_9.23(4)-R3D0;94;R3;D0;2;Froth
UZ_15.23(10)-R1D0;1510;R1;D0;2;Froth
UZ_15.23(10)-R2D0;1510;R2;D0;2;Froth
UZ_15.23(10)-R3D0;1510;R3;D0;2;Froth
UZ_16.23(8)-R1D0;168;R1;D0;2;Froth
UZ_16.23(8)-R2D0;168;R2;D0;2;Froth
UZ_16.23(8)-R3D0;168;R3;D0;2;Froth
Ftrif8.5-R1D0;85;R1;D0;2;Ftrif
Ftrif8.5-R2D0;85;R2;D0;2;Ftrif
