Host_sp;Endophyte_sp;measurement_ID;nucleids;nucleids_ST;mean;mean_ST;CV;CV_ST;pg/1C;pg/1C_ST
Festuca triflora;Epichloë festucae;Ftrif8.5_Coll_REP1;19705;18408;8892;18917;6,78;4,25;0,032;0,069
Festuca triflora;Epichloë festucae;Ftrif8.5_Coll_REP2;7722;6275;9355;18669;6,91;3,71;0,035;0,069
Festuca triflora;Epichloë festucae;Ftrif8.5_Coll_REP3;16389;13251;10326;20215;6,91;3,65;0,035;0,069
Festuca triflora;Epichloë festucae;Ftrif8.5_Coll_REP4;17677;22991;10824;21049;6,89;4,59;0,035;0,069
Festuca triflora;Epichloë festucae;Ftrif8.8_Coll_REP1;7025;11070;10917;20056;6,78;3,99;0,038;0,069
Festuca triflora;Epichloë festucae;Ftrif8.8_Coll_REP2;7655;12222;11531;19836;6,33;4,3;0,04;0,069
Festuca triflora;Epichloë festucae;Ftrif8.8_Coll_REP3;11225;15189;9995;19147;7,25;4,14;0,036;0,069
Festuca triflora;Epichloë festucae;Ftrif8.8_Coll_REP4;12211;15816;10264;18952;6,99;3,91;0,037;0,069
Festuca triflora;Epichloë festucae;Ftrif8.12_Coll_REP1;15967;14715;12194;20239;6,92;4,31;0,042;0,069
Festuca triflora;Epichloë festucae;Ftrif8.12_Coll_REP2;10280;8500;11789;19000;6,89;4,12;0,043;0,069
Festuca triflora;Epichloë festucae;Ftrif8.12_Coll_REP3;12747;8138;12079;18775;6,85;4,19;0,044;0,069
Festuca triflora;Epichloë festucae;Ftrif8.12_Coll_REP4;14647;8848;12474;19096;6,5;3,61;0,045;0,069
